USA / CA;AU / IE / UK;DE / CH;FR;NL;SE;ES/MX;NO;DK;IT;FI
;;;;;;;;;;
Personalized;Personalised;s@Personalisiertes#r@Personalisierter#e@Personalisierte;Personnalisé;Gepersonaliseerde;Personlig / Personligt / Personlige;;Personlig;Personlig;Personalizzato;räätälöity
Engraved;Engraved;s@Graviertes#r@Gravierter#e@Gravierte;Gravé;Gegraveerde;Graverad / Graverat / Graverade;;Gravert;Graveret;Inciso;kaiverrettu
3D Engraved;3D Engraved;s@3D Graviertes#r@3D Gravierter#e@3D Gravierte;Gravé en 3D;3D Gegraveerde;3D Graverad / Graverat / Graverade;;3D Gravert;3D Graveret;Inciso in 3D;3D-kaiverrettu
Engravable;Engravable;s@Gravierbares#r@Gravierbarer#e@Gravierbare;Gravable;Graveerbare;Graverbar / Graverbart / Graverbare;;Graverbar;Graverbar;Incidibile;kaiverrettavissa
Custom;Custom;s@Personalisierbares#r@Personalisierbarer#e@Personalisierbarer;Personnalisé;Op Maat Gemaakte;Personlig / Personligt / Personlige;;Personaliserte;Personaliseret;Personalizzato;mukautettu
Two Names ;Two Names ;Zwei Namen;Deux Noms ;Twee Namen ;Två Namn;;To Navn;To Navne;Due Nomi ;kaksi nimeä
Three Names ;Three Names;Drei Namen;Trois Noms ;Drie Namen ;Tre Namn;;Tre Navn;Tre Navne;Tre Nomi ;kolme nimeä
Four Names ;Four Names ;Vier Namen;Quatre Noms ;Vier Namen ;Fyra Namn;;Fire Navn;Fire Navne;Quattro Nomi ;neljä nimeä
Double Name;Double Name;Doppelname ;Nom Double;Dubbele Naam;Dubbelnamn;;Dobbelt Navn;Dobbelt Navn;Doppio Nome;tuplanimi
Triple Names;Triple Names;Triplename;Noms Triples;Drievoudige Namen;Trippelnamn;;Tredobbelt Navn;Tre Navne;Nomi Tripli;kolme nimeä
